sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class,,,,,
148,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
149,0.0273,0.0507,0.0287,0.0803,0.2748,0.3417,0.3682,0.3487,0.1264,0.0634,6422,,,,,
150,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
151,0.0319,0.0549,0.0305,0.0847,0.2565,0.3295,0.331,0.3271,0.1357,0.0647,6422,,,,,
152,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
153,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
154,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
155,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
156,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
157,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
158,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
159,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
160,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
161,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
162,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,6422,,,,,
163,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
164,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
165,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
166,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
167,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
168,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
169,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
170,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
171,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
172,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
173,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,6422,,,,,
174,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,6422,,,,,
175,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
176,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,6422,,,,,
177,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
178,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
179,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
180,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
181,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
182,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,6422,,,,,
183,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
184,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,6422,,,,,
185,0.0357,0.0556,0.0378,0.0899,0.2635,0.3291,0.3422,0.3313,0.1448,0.0752,6422,,,,,
186,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
187,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
188,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
189,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
190,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
191,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,6422,,,,,
192,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
193,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
194,0.0316,0.0515,0.0262,0.0803,0.2748,0.3417,0.3706,0.3487,0.1264,0.0634,6422,,,,,
195,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
196,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
197,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
198,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
199,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,6422,,,,,
200,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
201,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
202,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
203,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
204,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
205,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
206,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,6422,,,,,
